연번,업소명,업태,업소주소
100,경성상회,식육(숯불구이),"대구광역시 중구 공평로 30(삼덕동2가, 지상1,2층)"
101,경성팥집옥루몽(서문시장점),기타,"대구광역시 중구 큰장로26길 58-1(지상 1층, 2층 대신동)"
102,경주보리밥뷔페,회집,대구광역시 중구 경상감영길 117-12(향촌동)
103,경탄성,한식,대구광역시 중구 경상감영길 140(1층 포정동)
104,경희식당,한식,"대구광역시 중구 큰장로28길 25(대신동, 지상1층)"
105,계단,호프/통닭,대구광역시 중구 동성로4길 39(지상3층 삼덕동1가)
106,계돼지 동성로점,호프/통닭,대구광역시 중구 동성로2길 30-5(삼덕동1가)
107,계박살얼큰이,한식,대구광역시 중구 남산로17길 99(1층 남산동)
108,고가촌,한식,대구광역시 중구 중앙대로 432-7(포정동)
109,고고 비닐,기타,대구광역시 중구 동성로3길 58-19(공평동)
110,고고(GoGo),한식,"대구광역시 중구 동성로3길 58-19(2,3층 공평동)"
111,고기굽는남자,식육(숯불구이),"대구광역시 중구 중앙대로81길 30(종로1가, 지상1.2층)"
112,고기생각 대구역점,한식,대구광역시 중구 태평로 166(1층 태평로1가)
113,고기품은도시락과비빔밥,한식,대구광역시 중구 국채보상로 477-8(지상 1층 동산동)
114,고기품은비빔밥과철판덮밥,한식,대구광역시 중구 중앙대로 394-11(남일동)
115,고담이야기,탕류(보신용),"대구광역시 중구 대봉로43길 21(401동 109호 대봉동, 더샵 리비테르 1차)"
116,고도리,한식,대구광역시 중구 경상감영길 226(1층 동문동)
117,고래불해물찜,한식,대구광역시 중구 큰장로12길 60(1층 대신동)
118,고래불해물찜&옛날할머니찜닭&김가네동인동찜갈비,한식,대구광역시 중구 국채보상로99길 7(동산동)
119,고령장날,한식,대구광역시 중구 동성로6길 76(지상1층 삼덕동1가)
120,고령참숯맛고기,식육(숯불구이),대구광역시 중구 달구벌대로393길 84(1층 대신동)
121,고마(goma),일식,대구광역시 중구 경상감영길 188(1층 동문동)
122,고미정,한식,대구광역시 중구 서성로20길 40(수창동)
123,고바슨 반달스퀘어점,기타,대구광역시 중구 달구벌대로 2095(삼성생명 4층 덕산동)
124,고바슨커피동성로아비뇽점,기타,대구광역시 중구 동성로2길 53(지상 2층 공평동)
125,고반식당 대구동성로점,한식,대구광역시 중구 동성로3길 32-25(삼덕동1가)
