시설명,관리주체,부지면적,좌석수,수용인원,준공연도
대구체육공원암벽등반장,체육시설관리부(위탁:대구등산학교),1000,,200,2007
연경체육공원인공암벽장,체육시설관리부(위탁:대구등산학교),807,,,2021
대구론볼장,체육시설관리부(사용허가:대구장애인론볼연맹),3945,,100,2016
팔현파크골프장,수성구,73270,,,2012
패밀리파크풋살장,수성구,,,,2011
패밀리파크론볼장,수성구,,,,2012
패밀리파크농구장,수성구,,,,2011
패밀리파크족구장,수성구,,,,2011
수성파크골프장,수성구,29720,,,2020
대구스포츠단훈련센터,체육시설관리부(위탁:대구시체육회),11985,,,2020
청소년수련관운동장풋살경기장,달서구(위탁:마하야나불교문화원),6613,369,400,2007
성서산업단지체육시설내풋살장,산단진흥과(위탁:성서산업단지관리공단),1125,,,2015
수림지파크골프장,달서구,14854,,,2018
두류공원내다목적경기장,도시공원관리사무소,4032,,,1988
본리배수지족구장,달서구,800,,,2021
달서강창체육시설,달서구,20550,,,2021
환경자원사업소족구장,환경자원사업소,594,,,2010
환경자원사업소파크골프장,환경자원사업소,23400,,,2013
서재문화체육센터풋살장,대구시 자원순환과(위탁:대구공공시설관리공단),1650,,,2015
서재문화체육센터족구장,대구시 자원순환과(위탁:대구공공시설관리공단),729,,,2015
서재문화체육센터배드민턴장,대구시 자원순환과(위탁:대구공공시설관리공단),656,,,2015
화원 진천천 파크골프장,달성군(위탁:달성군시설관리공단),20190,,,2012
다사 세천 파크골프장,달성군(위탁:달성군시설관리공단),27418,,,2010
다사 강창 파크골프장,달성군(위탁:달성군시설관리공단),9900,,,2010
논공 달성보 파크골프장,달성군(위탁:달성군시설관리공단),9900,,,2017
성서5차산업단지파크골프장,달성군(위탁:달성군시설관리공단),19700,,,2012
구지1호공원파크골프장,달성군(위탁:달성군시설관리공단),15000,,,2017
유가한정파크골프장,달성군(위탁:달성군시설관리공단),9116,,,2021
구지평촌파크골프장,달성군(위탁:달성군시설관리공단),8999,,,2021
논공 위천 파크골프장,달성군(위탁:달성군시설관리공단),32802,,,2023
가창파크골프장,(위탁:달성군시설관리공단),9650,,,2021
히딩크드림필드풋살장,달성군(위탁:달성군시설관리공단),49380,,,2010
군위 파크골프장,군위군,9459,,,2017
삼국유사 파크골프장,군위군,5500,,,2016
소보 파크골프장,군위군,9975,,,2023
우보 파크골프장,군위군,7865,,,2021
효령 파크골프장,군위군,2200,,,2019
